gps_time,x,y,z,ve(m/s),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2022-12-26-12-37-22-050,0.13186029574120717,-17.391875108801962,0.04817621617869783,0.0024,-2.3372,0.0251,-0.0009570646470998684,-0.03555565012489008,3.1243944885351578
2022-12-26-12-37-22-100,0.13228765933304665,-17.508854962182788,0.04927589536231913,0.0108,-2.3413,0.0285,-0.000951155014612493,-0.03523012201167641,3.124578975352334
2022-12-26-12-37-22-150,0.13304878918087937,-17.625430812218656,0.050275572740352104,0.0128,-2.3327,0.0191,-0.000983698807817615,-0.035303549357211333,3.124811999008063
2022-12-26-12-37-22-200,0.13359976885713376,-17.742223090067462,0.050775246054694634,0.0057,-2.3361,0.0116,-0.0008660336838365254,-0.034914280894690335,3.1249472904216
2022-12-26-12-37-22-250,0.13434323733942843,-17.858429343297487,0.05127492328581518,0.0141,-2.3284,0.0065,-0.0004147064443826037,-0.03527839045349713,3.1248704715348086
2022-12-26-12-37-22-300,0.13505403468160448,-17.975051806547867,0.05157459426000521,0.0173,-2.3346,0.0127,-0.0008132999392976258,-0.03496503412686053,3.124662796028845
2022-12-26-12-37-22-350,0.13606946007760268,-18.091263608989415,0.052074264988133834,0.0194,-2.3265,0.0128,-0.0015317121914706065,-0.03546492510039132,3.1244923731795007
2022-12-26-12-37-22-400,0.13735066387835548,-18.207560875435544,0.05297393344895518,0.0205,-2.3265,0.0207,-0.0017767879041903163,-0.035605732627028736,3.124468501333937
2022-12-26-12-37-22-450,0.13852237620207397,-18.323436377973294,0.053773599509622017,0.0158,-2.3154,0.0152,-0.001674120691177587,-0.03604547327135049,3.1246104959113583
2022-12-26-12-37-22-500,0.13943802592046772,-18.43930855317622,0.054673264613978034,0.0135,-2.319,0.0168,-0.0015953084463948984,-0.03598756015753654,3.124692053209989
2022-12-26-12-37-22-550,0.13984154846386332,-18.555141880609046,0.054972928372823304,-0.0006,-2.3153,0.0044,-0.0016812457884093433,-0.03581443995419355,3.1247612290381857
2022-12-26-12-37-22-600,0.1401188048909603,-18.67079318415309,0.05537258988124805,0.0011,-2.3174,0.0106,-0.0012955774688963055,-0.03585662758163386,3.124765256978846
