gps_time,x,y,z,ve(m/s),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2022-12-17-16-42-20-700,4.5187650601793115,9.05219459403904,0.061791950271309126,1.4398,2.8622,0.0249,0.040520136452108176,0.020338378810849874,0.45913005623727504
2022-12-17-16-42-20-750,4.590593894332712,9.19524644489832,0.06269169288306164,1.436,2.8567,0.027,0.04064095599691286,0.019939675325285393,0.4593375047108103
2022-12-17-16-42-20-800,4.662306937234473,9.338243978894562,0.06359143218089791,1.4297,2.8571,0.0243,0.04055802770724861,0.01962517650612044,0.4596670081604612
2022-12-17-16-42-20-850,4.733907088220132,9.481200497854086,0.0644911672643449,1.4257,2.8536,0.0235,0.040267815423877834,0.019498375927408683,0.4600792535509722
2022-12-17-16-42-20-900,4.805327768847891,9.624118217125952,0.06519089878562312,1.4273,2.8512,0.0247,0.04009298258129974,0.019602831998184952,0.46048905694660697
2022-12-17-16-42-20-950,4.8768391474693615,9.766798714917039,0.06599062722698346,1.4307,2.8458,0.0237,0.03993947848248577,0.019749686287829075,0.46073707142726783
2022-12-17-16-42-21-000,4.948440260230521,9.909355057077143,0.06669035074473673,1.4316,2.8473,0.0186,0.039547271234570254,0.019969833550109017,0.46084187124064024
2022-12-17-16-42-21-050,5.019976721290157,10.051798330697121,0.06749007138024865,1.4312,2.8436,0.0197,0.03915976852165349,0.020305098698139925,0.4609909054639734
2022-12-17-16-42-21-100,5.091278711187287,10.194294814745636,0.06858978880891708,1.4267,2.8489,0.0169,0.03892985401290695,0.02073102905823613,0.4612894832500753
2022-12-17-16-42-21-150,5.162667544441294,10.336743631926574,0.06958950026524757,1.4301,2.8468,0.017,0.03875906071742931,0.02105638667023517,0.4616497337986396
2022-12-17-16-42-21-200,5.234132597797794,10.479233465579856,0.07038920864767295,1.4304,2.847,0.0115,0.03831370442387939,0.021220211738674232,0.4619299981765128
2022-12-17-16-42-21-250,5.3058340490301,10.621484966038027,0.07118891256051008,1.4422,2.8408,0.0152,0.03823371441346416,0.02118593923175159,0.4621420759439028
2022-12-17-16-42-21-300,5.3777371569569885,10.763515871322152,0.07188861427989757,1.4407,2.8367,0.0122,0.03854619648722514,0.020953737713366415,0.4623541807464428
2022-12-17-16-42-21-350,5.449976040891599,10.905500218972161,0.07278831120163964,1.4468,2.8379,0.0204,0.03890022139398758,0.020781185859041044,0.46244720888996926
2022-12-17-16-42-21-400,5.522270893434728,11.04718859197904,0.07388800245961047,1.4496,2.8311,0.0224,0.03951016206146764,0.020176781725014158,0.46269040814685025
2022-12-17-16-42-21-450,5.594641963766375,11.188892484798211,0.07508769284403982,1.4485,2.8317,0.0212,0.040382923815037684,0.019728358085117022,0.4630816767043341
2022-12-17-16-42-21-500,5.667027508547578,11.330390192721572,0.07618737778926654,1.4458,2.8277,0.0218,0.04111621393443307,0.019288812236993084,0.4634837705443305
